NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,EngineCylinders,Trim,Doors,VIN,SellingPrice,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription
NEW,2023,Jeep,Grand Wagoneer,WSJS75,Diamond Black Crystal Pearlcoat,6,Series II Obsidian 4x4,4,1C4SJVFJ9PS505732,103230,16,FALSE,13,18,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,1500,DT6M98,Bright White Clearcoat,8,"Limited 4x4 Crew Cab 5'7"" Box",4,1C6SRFHM9PN513681,84660,9,FALSE,21,29,Diesel,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler 4xe,JLXL74,Sarge Green Clearcoat,4,4x4,4,1C4JJXN66PW604652,60640,12,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee 4xe,WLXP74,Bright White Clearcoat,4,4x4,4,1C4RJYB60P8784339,65950,5,FALSE,,,Hybrid,Four Wheel Drive,8-Speed Automatic
NEW,2023,Dodge,Durango,WDES75,DB Black Crystal Clearcoat,8,R/T Plus AWD,4,1C4SDJCT6PC559392,66875,80,FALSE,14,22,Gasoline,All Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler,JLJL74,Black Clearcoat,6,Willys 4 Door 4x4,4,1C4HJXDG9PW563149,61395,5,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler,JLJS74,Sting-Gray Clearcoat,6,Rubicon 4 Door 4x4,4,1C4JJXFM6PW584061,63705,5,FALSE,21,26,Diesel,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Wagoneer,WSJS75,Diamond Black Crystal Pearlcoat,6,Series II Obsidian 4x4,4,1C4SJVFJ0PS505733,103230,12,FALSE,13,18,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,1500,DT6X98,Bright White Clearcoat,6,"Rebel 4x4 Crew Cab 5'7"" Box",4,1C6SRFLT2PN537657,73305,18,FALSE,17,22,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Ram,1500,DT6H98,Diamond Black Crystal Pearlcoat,6,"Big Horn 4x4 Crew Cab 5'7"" Box",4,1C6RRFFG7PN549106,58070,8,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler,JLJL74,High Velocity Clearcoat,6,Sport 4 Door 4x4,4,1C4HJXDGXPW622547,46245,5,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,4,Latitude 4x4,4,3C4NJDBN3PT502100,35885,13,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Compass,MPJM74,Bright White Clearcoat,4,Latitude 4x4,4,3C4NJDBN5PT502101,35885,5,FALSE,24,32,Gasoline,Four Wheel Drive,8-Speed Automatic
